#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_194	0	0	8	0	550	2	0	1	0	0	4	0
OTU_195	0	0	0	0	0	0	8	0	0	0	0	0
OTU_196	0	442	0	0	0	0	0	0	4	1820	0	0
OTU_197	67	918	0	209	0	0	0	0	1555	1	739	1516
OTU_198	0	0	308	0	1250	47	0	315	0	0	170	0
OTU_199	0	2	1	0	1	0	1	0	2	7165	1	0
OTU_200	2	0	0	0	0	0	1199	0	0	0	0	0
OTU_201	0	631	0	1	0	0	0	0	15	350	0	1
OTU_202	0	0	0	0	0	0	1	0	0	4014	0	0
OTU_203	0	0	0	0	0	0	16	0	0	0	0	0
OTU_204	206	2942	0	630	0	0	0	0	4505	2	2517	4623
OTU_205	17	34	23	0	1	0	3	1	0	21	0	6
OTU_206	4	138	152	93	0	0	0	0	4	694	0	13
OTU_207	14	14011	0	0	0	0	1	0	1009	6395	3	0
OTU_208	2	1644	0	0	0	0	0	0	28	795	0	0
OTU_209	16	38521	1	1	0	0	1	0	134	8410	5	1
OTU_210	0	225	0	0	0	0	0	0	0	715	0	0
OTU_211	0	1	0	2	0	0	0	1	3	3567	0	1
OTU_212	0	0	0	0	0	0	0	0	0	338	0	0
OTU_213	256	3001	0	0	0	0	0	0	0	247	2	1
OTU_214	120	1558	0	359	0	0	0	0	2773	2	1179	2603
OTU_215	0	8	1608	0	0	0	0	0	1	2595	0	0
OTU_216	0	0	2969	0	574	637	1	3367	0	0	1525	1
OTU_217	0	1	0	426	0	0	0	0	0	1	0	2
OTU_218	2	6	277	894	0	0	0	0	0	8	1	117
OTU_219	0	3	1516	0	5344	325	0	1566	1	1	841	0
OTU_220	2	5	4840	2	16915	1002	5	5375	3	6	2600	2
OTU_221	0	0	0	0	0	0	0	0	0	849	0	0
OTU_222	0	1	3215	0	1453	597	2	3564	0	0	1475	0
OTU_223	0	0	1851	0	779	373	0	2032	0	0	996	0
OTU_224	0	193	0	0	0	0	0	0	2	0	0	0
OTU_225	0	0	310	0	82	37	0	296	0	0	136	0
OTU_226	0	180	0	31	0	0	0	0	0	0	0	1
OTU_227	0	0	0	239	0	0	0	0	0	3	1	0
OTU_228	1	777	19	3	0	0	0	0	19	486	1	4
OTU_229	0	0	0	15	0	0	5285	1	16	0	1	0
OTU_230	0	0	0	0	2	0	1800	0	0	0	3	0
OTU_231	72	1133	0	205	0	0	0	0	1807	0	905	1698
OTU_232	0	0	3125	0	1007	577	3	3303	0	0	1522	0
OTU_233	351	10192	501	1743	0	0	0	2	1643	11470	1	0
OTU_234	0	0	0	4	3	0	1916	0	4	0	3	0
