#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_64	0	22	0	0	0	0	0	0	0	0	0	0
OTU_65	0	145	0	0	0	0	0	0	0	0	0	0
OTU_66	0	0	0	0	0	0	0	0	0	42	0	0
OTU_67	78	54	0	0	0	0	0	0	0	0	0	0
OTU_68	0	16	0	0	0	0	0	0	0	0	0	0
OTU_69	0	0	0	0	0	0	0	30	0	0	0	0
OTU_70	0	0	0	0	0	0	0	0	0	740	0	0
OTU_71	0	0	0	0	0	0	0	0	12	0	0	0
OTU_72	0	0	0	0	0	0	0	0	0	775	0	0
OTU_73	0	0	0	0	0	0	0	0	0	12200	0	0
OTU_74	0	0	0	0	0	0	0	0	0	590	0	0
OTU_75	0	0	0	0	0	0	0	0	0	299	0	0
OTU_76	0	32	0	0	0	0	0	0	0	0	0	0
OTU_77	0	0	0	0	0	0	0	0	0	2468	0	0
OTU_78	0	0	0	0	0	0	0	0	93	0	0	0
OTU_79	0	0	0	0	145	0	0	0	0	0	0	0
OTU_80	0	0	0	0	0	0	0	0	0	46	0	0
OTU_81	0	0	0	116	0	0	0	0	0	0	0	0
OTU_82	0	19	0	0	0	0	0	0	0	0	0	0
OTU_83	0	0	0	0	0	0	0	0	0	0	101	0
OTU_84	0	0	0	0	0	0	0	0	0	17	0	0
OTU_85	0	0	0	57	0	0	0	0	0	0	0	0
OTU_86	0	132	0	0	0	0	0	0	0	0	0	0
OTU_87	0	51	0	0	0	0	0	0	0	0	0	0
OTU_88	0	0	0	0	0	0	0	0	0	0	70	0
OTU_89	0	0	0	0	0	0	0	0	0	26	0	0
OTU_90	0	0	218	0	1599	520	0	557	0	0	1201	0
OTU_91	0	0	0	0	0	0	0	0	0	29	0	0
OTU_92	0	0	0	0	0	0	0	0	0	490	0	0
OTU_93	0	0	0	71	0	0	0	0	0	0	0	0
OTU_94	2130	35652	0	7873	0	0	0	0	49197	0	24140	58682
OTU_95	0	0	0	24	0	0	0	0	32	0	0	74
OTU_96	0	548	0	0	0	0	0	0	0	2158	0	0
OTU_97	0	0	0	0	0	0	0	0	0	42	0	0
OTU_98	0	0	0	0	0	0	0	0	0	40	0	0
OTU_99	0	0	0	0	0	0	0	0	0	20	0	0
OTU_100	0	0	0	0	0	0	0	0	0	83	0	0
OTU_101	0	0	0	0	0	0	0	0	0	23	0	0
OTU_102	0	90	0	0	0	0	0	0	0	0	0	0
OTU_103	0	0	0	0	0	0	0	0	0	0	80	0
OTU_104	0	0	0	0	0	0	0	0	0	47	0	0
OTU_105	0	24	0	0	0	0	0	0	0	0	0	0
OTU_106	0	206	0	0	0	0	0	0	0	554	0	0
OTU_107	0	0	0	0	0	0	0	0	0	36	0	0
OTU_108	0	41	0	0	0	0	0	0	0	0	0	0
OTU_109	0	42	0	119	0	0	0	0	0	0	0	0
OTU_110	0	83	0	0	0	0	0	0	0	0	0	0
OTU_111	0	0	0	72	0	0	0	0	0	0	0	0
OTU_112	0	0	0	0	0	0	0	18	0	0	0	0
OTU_113	0	0	0	0	0	0	77	0	0	0	0	0
OTU_114	0	53	0	0	0	0	0	0	0	0	0	0
OTU_115	0	0	0	0	0	0	0	0	0	34	0	0
OTU_116	0	0	0	0	0	0	0	43	0	0	0	0
OTU_117	0	0	0	0	25	0	0	0	0	0	0	0
OTU_118	0	0	0	0	32	0	0	0	0	0	0	0
OTU_119	0	0	0	0	0	0	0	0	0	34	0	0
OTU_120	117	0	0	0	0	0	0	0	0	0	0	0
OTU_121	0	33	0	0	0	0	0	0	0	0	0	0
OTU_122	0	83	0	0	0	0	0	0	0	56	0	0
OTU_123	0	0	0	0	0	0	0	0	0	21	0	0
OTU_124	0	30	0	0	0	0	0	0	0	0	0	0
OTU_125	0	0	0	68	0	0	0	0	0	0	0	0
OTU_126	0	0	0	0	30	0	0	0	0	0	0	0
OTU_127	0	0	0	0	59	0	0	0	0	0	0	0
OTU_128	0	0	0	0	142	0	0	0	0	0	0	0
OTU_129	0	0	0	0	0	0	0	0	0	34	0	0
OTU_130	0	0	101	0	289	55	0	449	0	0	11	0
OTU_131	0	1008	0	0	0	0	0	0	0	645	0	0
OTU_132	0	64	0	0	0	0	0	0	37	0	0	0
OTU_133	0	0	130	0	0	0	0	0	0	0	0	0
OTU_134	0	221	0	35	0	0	0	0	0	148	0	0
OTU_135	0	24274	0	0	0	0	0	0	52	6135	0	0
OTU_136	0	0	0	296	0	0	0	0	0	0	0	0
OTU_137	0	0	0	0	0	0	0	11	0	0	0	0
OTU_138	0	0	0	0	0	0	0	0	0	199	0	0
OTU_139	14	0	0	0	0	0	0	0	0	0	0	0
OTU_140	0	0	0	0	0	0	0	0	0	588	0	0
OTU_141	0	0	0	0	24	0	0	0	0	0	0	0
OTU_142	0	0	0	0	2806	0	0	0	0	0	0	0
OTU_143	0	0	0	0	0	0	0	0	0	320	0	0
OTU_144	119	0	0	0	0	0	0	0	0	0	0	0
OTU_145	0	476	0	0	0	0	0	0	0	372	0	0
OTU_146	0	0	0	0	0	0	99	0	0	0	0	0
OTU_147	0	0	0	45	0	0	0	0	0	0	0	0
OTU_148	0	0	0	0	0	0	0	0	0	81	0	0
OTU_149	0	0	0	0	0	0	0	0	0	44	0	0
OTU_150	0	0	0	0	0	0	0	0	0	134	0	0
OTU_151	0	0	0	0	0	0	0	0	0	202	0	0
OTU_152	0	0	0	0	0	0	0	0	0	67	0	0
OTU_153	0	0	0	0	25	0	0	0	0	0	0	0
OTU_154	0	0	0	0	0	0	0	0	0	0	67	0
OTU_155	0	30	0	0	0	0	0	0	0	0	0	0
OTU_156	0	0	0	0	245	0	0	0	0	0	0	0
OTU_157	0	0	0	0	0	0	0	0	0	68	0	0
OTU_158	44	35	0	0	0	0	0	0	66	0	0	0
OTU_159	0	0	0	0	0	0	0	0	0	0	0	28
OTU_160	0	50	0	0	0	0	0	0	0	0	0	0
OTU_161	0	0	0	0	0	0	0	0	0	1022	0	0
OTU_162	0	0	0	0	0	0	0	0	0	270	0	0
OTU_163	0	0	0	0	0	0	0	0	0	69	0	0
OTU_164	0	0	107	0	52	0	0	29	0	0	0	0
OTU_165	0	0	0	0	0	0	0	0	0	19	0	0
OTU_166	0	0	0	0	23	121	0	0	0	0	0	0
OTU_167	0	0	0	0	48	0	0	0	0	0	0	0
OTU_168	0	0	0	0	0	0	82	0	0	0	0	0
OTU_169	0	0	0	0	0	0	0	0	0	60	0	0
OTU_170	0	0	0	0	50	0	0	0	0	0	0	0
OTU_171	51	197	0	73	0	0	0	0	190	0	245	220
OTU_172	0	0	0	0	0	0	0	0	0	55	0	0
OTU_173	0	0	0	0	0	0	0	0	0	156	0	0
OTU_174	0	0	0	63	0	0	0	0	0	0	0	0
OTU_175	33	0	0	15	0	0	0	0	0	0	0	0
OTU_176	0	0	0	0	0	0	0	0	0	6892	0	0
OTU_177	0	0	0	0	0	0	0	11	0	0	0	0
OTU_178	0	0	0	218	0	0	0	0	0	0	0	0
OTU_179	0	129	0	0	0	0	0	0	0	0	0	0
OTU_180	0	0	0	0	73	0	0	0	0	0	0	0
OTU_181	0	0	0	0	0	0	0	0	0	25	0	0
OTU_182	0	0	0	0	0	0	0	0	0	1298	0	0
OTU_183	269	4057	171	0	0	0	0	0	135	2158	0	0
OTU_184	0	0	0	0	0	0	0	0	0	0	0	77
OTU_185	0	52	0	0	0	0	0	0	0	0	0	0
OTU_186	0	3110	0	0	0	0	0	0	472	1735	0	0
OTU_187	0	0	0	0	0	0	0	0	0	646	0	0
OTU_188	0	0	0	0	0	0	0	0	0	71	0	0
OTU_189	0	68	0	0	0	0	0	0	0	0	0	0
OTU_190	0	0	38	0	0	0	0	0	0	0	0	0
OTU_191	0	0	0	0	0	0	0	0	0	105	0	0
OTU_192	0	0	0	0	0	0	0	0	0	183	0	0
OTU_193	0	0	0	0	0	0	0	0	0	706	0	0
OTU_194	0	0	0	0	0	0	0	0	0	42	0	0
OTU_195	0	0	0	0	0	0	0	0	0	755	0	0
OTU_196	0	0	0	30	0	0	0	0	0	0	0	0
OTU_197	0	0	0	0	0	0	0	0	0	210	0	0
OTU_198	0	64	0	0	0	0	0	0	0	0	0	0
OTU_199	0	0	0	0	0	0	0	0	0	277	0	0
OTU_200	0	0	0	0	0	0	0	0	0	34	0	0
OTU_201	0	78	0	0	0	0	0	0	0	0	0	0
OTU_202	0	0	0	0	0	0	0	0	0	29	0	0
OTU_203	0	0	0	0	0	0	0	40	0	0	0	0
OTU_204	0	0	0	0	0	0	0	0	0	28	0	0
OTU_205	0	0	0	0	0	0	0	0	0	75	0	0
OTU_206	0	0	0	0	58	0	0	43	0	0	0	0
OTU_207	0	0	0	0	32	0	0	0	0	0	0	0
OTU_208	0	0	0	0	0	0	0	25	0	0	0	0
OTU_209	0	0	0	0	0	0	0	0	0	180	0	0
OTU_210	0	0	0	0	0	0	0	0	0	84	0	0
OTU_211	0	0	0	54	0	0	0	0	0	0	0	0
