taxonomy,BC02,BC06,BC10,BC11,BC14,BC15,BC16,BC17,BC19,BC27,BC28,BC30,BC32,BC37,BC38,BC42,BC43,BC44,BC45,BC48,BC52,BC55,BC56,BC57,BC59,BC62,BC64,BC65,BC67,BC70,BC72,BC73,BC74,BC76,BC77,BC78,BC79,mean
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group,0.0895977062987188,0.239482200647249,0,0.627716079188798,0.562543454901713,0.0987881981032666,0.054726368159204,0.195117308332937,0,0,0.221561055896689,0.119172800560813,0.256638041654328,0.196197821527637,0.171060949760143,0,0.246144935929921,0.0990164367284969,0,0.295774647887324,0.0719344842850819,0.141482739105829,0.495329748089442,0.126047772105628,0.213774514360071,0.463367721629656,0.172346259302781,0.111196052540135,0.247756796571582,0.128949065119278,0.534563561804335,0.309570900335368,0.105089325927038,0.444368484019826,0.337937114310902,0.234640321086755,0.11177347242921,0.208747738881085
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium,0.474867843383209,0.110032362459547,0,0.117265641167138,0.170659250363441,0,0.208955223880597,0.0666254223575882,0.141442715700141,0.0670177118238392,0.455782743558904,0.294426919032597,0.463922613759747,0.240173195318314,0.17849838235841,0.249982144132562,0.521248099616303,0.31685259753119,0.0485507598193912,0.0985915492957746,0.193669765382913,0.304187889077533,0.148598924426833,0.094535829079221,0.232363602565294,0.463367721629656,0.203681942812378,0,0.0803535556448373,0.293717314993911,0.124487404803749,0.309570900335368,0.127608467197118,0.136728764313793,0.357527671662259,0.135844396418648,0.117983109786388,0.204030336099692
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter,0,0.220064724919094,0.072289156626506,0.42077671242326,0.423487769420391,0.184404636459431,0.134328358208955,0.185599390853281,0.205091937765205,0.0861656294877932,0.170918528834589,0,0.197413878195637,0.182666937284352,0.208248112751478,0.107135204628241,0.347498733077536,0,0.121376899548478,0.190140845070423,0.15493581230633,0.0990379173740804,0.226436456269459,0.100838217684502,0.399665396412306,0.297254764819024,0.117508813160987,0,0.374983259675907,0.107457554266065,0.102519039250146,0.343967667039298,0,0.393095197402153,0.382015868351455,0.265514047545539,0.11177347242921,0.187421917284895
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia,0,0.0841423948220065,0.0481927710843373,0.406980754638891,0.505657038113899,0.362223393045311,0.114427860696517,0.195117308332937,0.0848656294200849,0.143609382479655,0.126606317655251,0.350508236943568,0.602112328496693,0.0913334686421758,0.100405340076606,0,0.224426265112575,0.158426298765595,0.1116667475846,0.0985915492957746,0,0.106112054329372,0.311350127370507,0.245793155605975,0.167301793847012,0.18359853121175,0.156678417547983,0.125095559107652,0.113834203830186,0.100293717314994,0.146455770357352,0.275174133631439,0.0975829455036781,0.162365407622629,0.210598491527084,0.314912009879592,0.0683060109289618,0.178236362562774
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001,0.125436788818206,0,0,0.413878733531075,0.15169711143417,0.388566912539515,0.0597014925373134,0.0856612573168991,0.325318246110325,0.119674485399713,0.132936633538014,0.322467577988083,0.305991511203238,0.0710371422772478,0.0371871629913354,0.0857081637025927,0,0,0.203913191241443,0.288732394366197,0,0.183927560837578,0.212284177752618,0,0.130123617436565,0,0.45436741088915,0,0.274541315119861,0,0.329525483304042,0.180583025195632,0,0.282003076397197,0.416299343716329,0.203766594627972,0,0.156360281358711
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus,0,0.401294498381877,0,0.213837345657722,0.164338537387017,0.0987881981032666,0.174129353233831,0.133250844715176,0,0.114887505983724,0.259542951193265,0.077111812127585,0,0.0744198633380691,0.048343311888736,0.0928505106778087,0.333019619199305,0.125420819856096,0.0631159877652085,0.0774647887323944,0,0.573005093378608,0.183979620718936,0.0756286632633768,0.185890882052235,0.218569680013988,0,0.0903467926888595,0.167403240926744,0,0.124487404803749,0.309570900335368,0.112595706350398,0.153819859853017,0.29385836027035,0.228465575794998,0.26080476900149,0.146763310748465
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes,0.14335633007795,0,0,0.16555149341243,0.15169711143417,0.204162276080084,0.0597014925373134,0.14752772093466,0.219236209335219,0.157970320727621,0.164588212951826,0.0701016473887136,0.286250123383674,0.196197821527637,0.215685545349745,0.164273980429969,0.304061391442844,0.171628490329395,0.1116667475846,0.176056338028169,0.193669765382913,0,0.11321822813473,0.113442994895065,0.1580072497444,0.218569680013988,0,0,0.120530333467256,0.14327673902142,0.18306971294669,0.137587066815719,0,0.350367458554093,0.210598491527084,0.197591849336215,0.0931445603576751,0.144399659004142
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella,0,0,0,0,0,0,0,0.0809022985770713,0,0,0.379818952965753,0,0,0,0.0743743259826708,0.114277551603457,0,0,0,0,0.470340858787074,0.502263723825693,0,0,0,0,0,3.53047466814928,0,0,0,0,0.112595706350398,0,0,0,0,0.142298596925443
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group,0.125436788818206,0.0776699029126214,0,0.117265641167138,0.0948106946463561,0.11854583772392,0.114427860696517,0.14752772093466,0,0,0.392479584731278,0.147213459516299,0.177672490376073,0.0642717001556052,0.297497303930683,0,0.347498733077536,0.138623011419896,0,0,0.0608676405489154,0.134408602150538,0.134446645909992,0,0.306719955386188,0.157370169610072,0.0783392087739914,0.104246299256376,0.127226463104326,0.0859660434128519,0.197715289982425,0.343967667039298,0.187659510583996,0.145274312083405,0.318346556959546,0.0679221982093239,0,0.130038305219406
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus,0,0,0,0.0827757467062151,0.158017824410594,0.210748155953635,0.124378109452736,0.0809022985770713,0.113154172560113,0,0.139266949420776,0.112162635821942,0.227025959924983,0.155605168797781,0.159904800862742,0.135704592529105,0.123072467964961,0.145224107201795,0,0.176056338028169,0.0940681717574148,0.077815506508206,0.34673082366261,0.119745383500347,0,0.104913446406714,0,0.22239210508027,0.127226463104326,0.171932086825704,0.329525483304042,0.146186258491702,0.105089325927038,0.299094171936421,0.239984327554119,0.135844396418648,0,0.126068845370005
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus,0.188155183227309,0.181229773462783,0,0,0.0758485557170849,0,0.054726368159204,0.128491885975349,0.16973125884017,0.110100526567736,0,0,0,0.142074284554496,0.464839537391692,0.142846939504321,0.10859335408673,0.217836160802693,0.150507355440113,0,0.17153607791058,0.169779286926995,0.35380696292103,0.365538539106321,0,0,0.407363885624755,0.159844325526444,0.0937458149189768,0.315208825847124,0.190392501464558,0.137587066815719,0.743131661912626,0,0,0,0.0993541977148535,0.144385684605937
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus hyointestinalis,0,0,0.679518072289157,0,0,0,0,0,0,0.397319291527046,0.474773691207191,0,0,0,0,0,0,0.191431777675094,2.05369714036025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196547598701077,0.318346556959546,0,0,0.11653065212755
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella;Mitsuokella multacida,0.268793118896156,0,0.106024096385542,0,0,1.99552160168599,0.303482587064677,0,0,0.268070847295357,0.151927581186301,0,0,0.0811853054597118,0.174779666059276,0,0,0,0.0582609117832694,0.154929577464789,0,0,0,0,0,0,0,0,0.0937458149189768,0.100293717314994,0,0,0,0,0,0,0,0.101540941230136
