#OTU ID	NXT031_YAN_001	NXT031_YAN_002	NXT031_YAN_003	NXT031_YAN_004	NXT031_YAN_005	NXT031_YAN_006	NXT031_YAN_007	NXT031_YAN_008	NXT031_YAN_009	NXT031_YAN_010	NXT031_YAN_011	NXT031_YAN_012	NXT031_YAN_013	NXT031_YAN_014	NXT031_YAN_015	NXT031_YAN_016	NXT031_YAN_017	NXT031_YAN_018	NXT031_YAN_019	NXT031_YAN_020	NXT031_YAN_021	NXT031_YAN_022	NXT031_YAN_023	NXT031_YAN_025	NXT031_YAN_026	NXT031_YAN_027	NXT031_YAN_028	NXT031_YAN_029	NXT031_YAN_030	NXT031_YAN_031	NXT031_YAN_032	NXT031_YAN_033	NXT031_YAN_034	NXT031_YAN_035	NXT031_YAN_036	NXT031_YAN_037	NXT031_YAN_038	NXT031_YAN_039	NXT031_YAN_040	NXT031_YAN_041	NXT031_YAN_042	NXT031_YAN_043	NXT031_YAN_044	NXT031_YAN_045	NXT031_YAN_046	NXT031_YAN_047	NXT031_YAN_049	NXT031_YAN_050	NXT031_YAN_051	NXT031_YAN_052	NXT031_YAN_053	NXT031_YAN_054	NXT031_YAN_055	NXT031_YAN_056	NXT031_YAN_057	NXT031_YAN_058	NXT031_YAN_059	NXT031_YAN_061	NXT031_YAN_062	NXT031_YAN_063	NXT031_YAN_064	NXT031_YAN_065	NXT031_YAN_066	NXT031_YAN_067	NXT031_YAN_068	NXT031_YAN_069	NXT031_YAN_070	NXT031_YAN_071	NXT031_YAN_072	NXT031_YAN_073	NXT031_YAN_074	NXT031_YAN_075	NXT031_YAN_076	NXT031_YAN_077	NXT031_YAN_078	NXT031_YAN_079	NXT031_YAN_080	NXT031_YAN_081	NXT031_YAN_082	NXT031_YAN_083	NXT031_YAN_084	NXT031_YAN_085	NXT031_YAN_086	NXT031_YAN_087	NXT031_YAN_088	NXT031_YAN_089	NXT031_YAN_090	NXT031_YAN_091	NXT031_YAN_092	NXT031_YAN_093	NXT031_YAN_094	NXT031_YAN_095
zOTU_14819	3	1	0	1	0	2	0	0	0	0	1	0	3	1	0	0	1	0	1	6	1	1	0	0	0	4	0	3	0	5	3	1	0	0	0	0	1	0	0	1	1	0	1	1	3	0	1	0	0	1	0	0	1	0	2	0	0	2	0	1	2	1	0	0	0	5	0	0	0	1	0	2	0	0	2	2	1	0	1	1	0	0	4	0	2	0	0	0	0	0	0	2
zOTU_1482	29	39	14	15	3	16	24	1	13	8	2	0	23	3	6	47	31	33	27	41	55	9	19	28	9	5	6	45	32	36	17	33	16	18	0	0	33	27	19	17	20	7	9	17	10	6	66	39	22	19	14	0	8	9	18	91	1	13	10	6	6	15	13	12	12	30	13	21	0	42	7	19	19	13	25	28	14	14	9	3	0	38	20	30	17	16	9	9	7	11	10	6
zOTU_14820	27	17	23	6	22	7	13	51	16	8	0	0	16	15	6	11	8	9	22	5	34	29	14	49	7	12	14	10	13	24	5	17	14	8	0	0	6	8	9	15	4	20	17	0	14	8	17	1	8	4	16	11	10	12	7	4	0	15	11	13	17	24	6	16	7	11	10	6	0	47	5	9	7	2	18	12	5	9	10	1	0	24	16	0	16	29	9	16	12	20	16	8
zOTU_14839	3	0	0	0	0	1	0	1	0	0	3	0	2	0	1	0	0	3	0	1	2	1	0	2	0	0	0	0	1	1	1	1	2	0	0	0	1	1	1	1	4	2	1	4	2	0	2	0	1	0	0	0	2	2	1	1	0	1	0	2	0	0	0	4	3	1	1	0	0	5	0	0	0	0	0	7	3	1	2	1	0	0	0	1	0	2	0	0	0	0	2	0
zOTU_14843	37	25	17	2	9	3	7	44	13	5	1	0	12	10	5	7	9	11	27	7	26	19	2	39	2	11	6	8	17	22	9	15	22	0	0	0	10	5	10	34	3	38	12	2	26	12	11	0	3	7	16	3	8	26	6	0	0	19	14	9	24	18	15	12	6	24	19	4	0	35	5	13	11	1	28	8	8	11	14	6	0	36	17	1	30	25	10	11	19	13	14	11
zOTU_14846	1	2	0	0	0	1	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	3	0	1	0	5	0	4	0	1	0	0	0	0	1	2	2	1	1	1	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	10	0	0	2	0	2	0	0	0	1	0	0	2	2	0	0	0	1	0	0	1	1	0
zOTU_1485	18	0	1	2	0	2	313	0	1	13	2	0	4	0	3	4	0	27	0	59	116	0	11	9	57	32	2	40	57	0	32	0	2	2	0	0	14	9	0	2	5	0	0	5	4	7	6	9	25	51	4	3	14	7	0	0	0	0	0	0	4	11	125	0	52	3	2	0	0	3	1	12	8	7	3	1	4	1	1	5	0	4	2	1	0	2	4	0	0	0	10	4
zOTU_1487	0	0	0	0	0	0	7	0	0	0	18	0	0	94	4	2	1	0	0	0	2	0	27	1	1	0	11	0	1	30	0	0	0	1	0	0	2	216	0	1	2	0	0	6	4	0	3	0	24	2	0	47	1	0	4	12	15	0	0	0	0	1	0	0	0	1	0	101	0	0	1	0	0	14	1	0	0	0	0	0	0	0	0	2	3	0	10	0	0	0	0	0
zOTU_14872	3	5	3	0	0	2	6	4	1	0	0	0	1	2	2	2	6	2	4	3	15	3	1	3	1	1	1	12	3	7	4	1	6	0	0	0	17	6	11	4	2	3	4	1	4	1	3	18	5	0	2	0	1	2	4	11	0	2	0	4	9	14	5	2	3	16	13	0	0	14	2	1	2	0	3	5	2	2	0	0	0	1	1	8	3	1	4	2	0	1	4	0
zOTU_14879	3	1	5	0	0	0	0	1	3	3	1	0	3	0	5	1	7	1	6	0	25	1	5	13	18	1	0	0	0	21	3	6	0	1	0	0	5	2	2	3	2	2	2	15	1	3	11	0	1	4	5	17	9	7	1	3	0	4	1	0	3	0	3	3	0	0	21	0	0	0	6	1	12	1	0	1	0	15	0	12	0	0	19	1	8	7	3	2	3	2	14	2
